Year,Wage_Gap
1979,62.36760125
1980,64.07894737
1981,64.30006698
1982,65.51724138
1983,66.57894737
1984,67.59628154
1985,68.10059563
1986,69.13015043
1987,69.85583224
1988,70.15810277
1989,70.07926024
1990,72.02987101
1991,74.32712215
1992,75.78726382
1993,76.94483734
1994,76.34560907
1995,75.35410765
1996,75.14084507
1997,74.53157529
1998,76.29427793
1999,76.32817754
2000,76.84563758
2001,76.36963696
2002,78.0794702
2003,79.41760424
2004,80.26490066
2005,80.89128967
2006,80.69105691
2007,80.0405954
2008,79.91913747
2009,80.22265881
2010,81.336863
2011,82.15010142
2012,80.83389375
2013,81.87964841
2014,82.65306122
2015,81.4159292
